"arc_length","u","v","p"
0.622,-0.170464,-0.0977829,2.92566
0.623,-0.17006,-0.0984858,2.94796
0.624,-0.169656,-0.0991887,2.97027
0.625,-0.169252,-0.0998915,2.99257
0.626,-0.168794,-0.100574,3.01508
0.627,-0.168336,-0.101257,3.03758
0.628,-0.167878,-0.10194,3.06008
0.629,-0.16742,-0.102622,3.08258
0.63,-0.166962,-0.103305,3.10508
0.631,-0.166504,-0.103988,3.12758
0.632,-0.166046,-0.104671,3.15008
0.633,-0.165578,-0.105349,3.17262
0.634,-0.165063,-0.106011,3.19533
0.635,-0.164549,-0.106672,3.21805
0.636,-0.164034,-0.107333,3.24076
0.637,-0.16352,-0.107994,3.26347
0.638,-0.163005,-0.108656,3.28619
0.639,-0.16249,-0.109317,3.3089
0.64,-0.161976,-0.109978,3.33161
