"arc_length","u","v","p"
0.046,-0.0285676,0.0697377,-26.6311
0.047,-0.0291354,0.0710987,-26.2942
0.048,-0.0296885,0.0724055,-26.0057
0.049,-0.0302417,0.0737123,-25.7171
0.05,-0.0307949,0.0750191,-25.4285
0.051,-0.031348,0.0763259,-25.1399
0.052,-0.0319012,0.0776327,-24.8514
0.053,-0.0324543,0.0789395,-24.5628
0.054,-0.0330075,0.0802464,-24.2742
0.055,-0.0335558,0.0815334,-23.9982
0.056,-0.0340934,0.0827768,-23.7498
0.057,-0.0346311,0.0840203,-23.5014
0.058,-0.0351687,0.0852637,-23.253
0.059,-0.0357063,0.0865072,-23.0046
0.06,-0.036244,0.0877506,-22.7562
0.061,-0.0367816,0.088994,-22.5078
0.062,-0.0373193,0.0902375,-22.2594
0.063,-0.0378497,0.0914487,-22.0263
0.064,-0.038373,0.0926277,-21.8085
0.065,-0.0388963,0.0938066,-21.5907
0.066,-0.0394196,0.0949856,-21.3729
0.067,-0.0399429,0.0961645,-21.1551
0.068,-0.0404662,0.0973435,-20.9373
0.069,-0.0409895,0.0985224,-20.7195
0.07,-0.0415128,0.0997014,-20.5017
0.071,-0.042027,0.100835,-20.3005
0.072,-0.0425371,0.101949,-20.1069
0.073,-0.0430471,0.103062,-19.9132
0.074,-0.0435572,0.104176,-19.7195
0.075,-0.0440673,0.10529,-19.5259
0.076,-0.0445773,0.106403,-19.3322
0.077,-0.0450874,0.107517,-19.1385
0.078,-0.0455975,0.10863,-18.9448
0.079,-0.0460969,0.109686,-18.7683
0.08,-0.0465947,0.110733,-18.5942
0.081,-0.0470926,0.111781,-18.42
0.082,-0.0475905,0.112828,-18.2459
0.083,-0.0480884,0.113876,-18.0718
0.084,-0.0485862,0.114923,-17.8977
0.085,-0.0490841,0.11597,-17.7236
0.086,-0.0495813,0.117014,-17.5504
0.087,-0.0500679,0.117994,-17.3925
0.088,-0.0505546,0.118975,-17.2346
0.089,-0.0510412,0.119956,-17.0766
0.09,-0.0515279,0.120937,-16.9187
0.091,-0.0520146,0.121918,-16.7608
0.092,-0.0525012,0.122898,-16.6029
0.093,-0.0529879,0.123879,-16.4449
0.094,-0.053472,0.124843,-16.2904
0.095,-0.0539483,0.125757,-16.1462
0.096,-0.0544247,0.126671,-16.0019
0.097,-0.054901,0.127585,-15.8576
0.098,-0.0553774,0.128499,-15.7134
0.099,-0.0558538,0.129413,-15.5691
0.1,-0.0563301,0.130326,-15.4248
0.101,-0.0568065,0.13124,-15.2806
0.102,-0.0572787,0.132125,-15.1415
0.103,-0.0577456,0.132972,-15.0089
0.104,-0.0582125,0.133819,-14.8764
0.105,-0.0586795,0.134665,-14.7438
0.106,-0.0591464,0.135512,-14.6113
0.107,-0.0596133,0.136359,-14.4788
0.108,-0.0600802,0.137206,-14.3462
0.109,-0.0605471,0.138053,-14.2137
0.11,-0.0610087,0.138858,-14.0875
0.111,-0.061467,0.139637,-13.9652
0.112,-0.0619252,0.140417,-13.8428
0.113,-0.0623835,0.141197,-13.7205
0.114,-0.0628418,0.141977,-13.5981
0.115,-0.0633001,0.142757,-13.4758
0.116,-0.0637584,0.143537,-13.3535
0.117,-0.0642167,0.144316,-13.2311
0.118,-0.0646686,0.145042,-13.116
0.119,-0.065119,0.145755,-13.0027
0.12,-0.0655694,0.146468,-12.8893
0.121,-0.0660198,0.147181,-12.7759
0.122,-0.0664702,0.147894,-12.6625
0.123,-0.0669206,0.148607,-12.5491
0.124,-0.067371,0.14932,-12.4358
0.125,-0.0678214,0.150034,-12.3224
0.126,-0.0682647,0.15068,-12.217
0.127,-0.0687079,0.151327,-12.1115
0.128,-0.0691511,0.151974,-12.0061
0.129,-0.0695944,0.152621,-11.9007
0.13,-0.0700376,0.153267,-11.7953
0.131,-0.0704808,0.153914,-11.6899
0.132,-0.0709241,0.154561,-11.5845
0.133,-0.0713661,0.155195,-11.4804
0.134,-0.0718028,0.155776,-11.3821
0.135,-0.0722395,0.156357,-11.2838
0.136,-0.0726762,0.156938,-11.1855
0.137,-0.073113,0.157519,-11.0873
0.138,-0.0735497,0.1581,-10.989
0.139,-0.0739864,0.158681,-10.8907
0.14,-0.0744231,0.159262,-10.7924
0.141,-0.0748576,0.159818,-10.6966
0.142,-0.0752884,0.160334,-10.6048
0.143,-0.0757192,0.16085,-10.5129
0.144,-0.07615,0.161366,-10.4211
0.145,-0.0765808,0.161882,-10.3293
0.146,-0.0770117,0.162398,-10.2375
0.147,-0.0774425,0.162914,-10.1456
0.148,-0.0778733,0.163429,-10.0538
0.149,-0.0783011,0.163909,-9.96529
0.15,-0.0787265,0.164361,-9.87934
0.151,-0.079152,0.164812,-9.79339
0.152,-0.0795775,0.165264,-9.70743
0.153,-0.0800029,0.165716,-9.62148
0.154,-0.0804284,0.166167,-9.53552
0.155,-0.0808539,0.166619,-9.44957
0.156,-0.0812793,0.16707,-9.36362
0.157,-0.0817012,0.167475,-9.28169
0.158,-0.0821218,0.167863,-9.20111
0.159,-0.0825425,0.168251,-9.12053
0.16,-0.0829631,0.168639,-9.03995
0.161,-0.0833838,0.169028,-8.95937
0.162,-0.0838044,0.169416,-8.87879
0.163,-0.0842251,0.169804,-8.79821
0.164,-0.0846457,0.170193,-8.71762
0.165,-0.0850623,0.170523,-8.64168
0.166,-0.0854786,0.170849,-8.56604
0.167,-0.0858949,0.171175,-8.4904
0.168,-0.0863112,0.171501,-8.41477
0.169,-0.0867275,0.171827,-8.33913
0.17,-0.0871439,0.172153,-8.26349
0.171,-0.0875602,0.172479,-8.18785
0.172,-0.087976,0.172798,-8.11279
0.173,-0.0883884,0.173063,-8.04172
0.174,-0.0888008,0.173328,-7.97065
0.175,-0.0892132,0.173593,-7.89959
0.176,-0.0896257,0.173858,-7.82852
0.177,-0.0900381,0.174123,-7.75745
0.178,-0.0904505,0.174388,-7.68639
0.179,-0.0908629,0.174653,-7.61532
0.18,-0.0912742,0.1749,-7.54558
0.181,-0.0916831,0.175105,-7.47876
0.182,-0.0920921,0.17531,-7.41193
0.183,-0.092501,0.175515,-7.34511
0.184,-0.0929099,0.175721,-7.27829
