"arc_length","p","u","v"
4.176,-0.00800052,1.2573,0.241574
4.182,-0.00529185,1.25862,0.242167
4.188,-0.00258323,1.25993,0.242759
4.194,0.000125442,1.26125,0.243351
4.2,0.00283412,1.26256,0.243944
4.206,0.00554273,1.26388,0.244536
4.212,0.00815308,1.26432,0.244775
4.218,0.0107061,1.26425,0.244809
4.224,0.0132591,1.26419,0.244843
4.23,0.0158122,1.26412,0.244876
4.236,0.0183652,1.26405,0.24491
4.242,0.0209182,1.26399,0.244944
4.248,0.0234713,1.26392,0.244977
4.254,0.0260243,1.26385,0.245011
4.26,0.0285773,1.26379,0.245045
4.266,0.0311304,1.26372,0.245078
4.272,0.0336834,1.26366,0.245112
4.278,0.0360217,1.26281,0.244789
4.284,0.0382849,1.26169,0.24434
4.29,0.0405481,1.26057,0.243892
4.296,0.0428113,1.25946,0.243443
4.302,0.0450745,1.25834,0.242995
4.308,0.0473377,1.25722,0.242547
4.314,0.0496009,1.2561,0.242098
4.32,0.0518641,1.25499,0.24165
4.326,0.0541272,1.25387,0.241201
4.332,0.0563904,1.25275,0.240753
4.338,0.0586537,1.25163,0.240305
4.344,0.060904,1.25028,0.239777
4.35,0.063125,1.24841,0.23907
4.356,0.065346,1.24654,0.238362
4.362,0.0675671,1.24467,0.237655
4.368,0.0697882,1.2428,0.236947
