"arc_length","u","v","p"
0.311,-0.162702,0.161901,-0.0189836
0.312,-0.163152,0.161727,-0.018989
0.313,-0.163583,0.161502,-0.0190346
0.314,-0.163996,0.161225,-0.0191205
0.315,-0.164409,0.160948,-0.0192064
0.316,-0.164822,0.160671,-0.0192923
0.317,-0.165235,0.160394,-0.0193782
0.318,-0.165648,0.160117,-0.0194641
0.319,-0.166061,0.15984,-0.01955
0.32,-0.166474,0.159563,-0.0196358
0.321,-0.166887,0.159286,-0.0197217
0.322,-0.1673,0.159009,-0.0198076
0.323,-0.167713,0.158732,-0.0198935
0.324,-0.168126,0.158456,-0.0199794
0.325,-0.168539,0.158179,-0.0200653
0.326,-0.168952,0.157902,-0.0201512
0.327,-0.169365,0.157625,-0.0202371
0.328,-0.169778,0.157348,-0.020323
0.329,-0.170191,0.157071,-0.0204089
0.33,-0.170604,0.156794,-0.0204948
0.331,-0.171017,0.156517,-0.0205807
0.332,-0.17143,0.15624,-0.0206666
0.333,-0.171843,0.155963,-0.0207525
0.334,-0.172256,0.155686,-0.0208384
0.335,-0.172669,0.155409,-0.0209243
0.336,-0.173081,0.155132,-0.0210102
0.337,-0.173494,0.154855,-0.0210961
0.338,-0.173907,0.154578,-0.021182
0.339,-0.17432,0.154301,-0.0212679
0.34,-0.174733,0.154024,-0.0213538
0.341,-0.175146,0.153747,-0.0214396
0.342,-0.175559,0.153471,-0.0215255
0.343,-0.175972,0.153194,-0.0216114
0.344,-0.176371,0.15289,-0.0217136
0.345,-0.176726,0.152509,-0.0218646
0.346,-0.177081,0.152127,-0.0220155
0.347,-0.177436,0.151746,-0.0221665
0.348,-0.177791,0.151364,-0.0223175
0.349,-0.178146,0.150982,-0.0224685
0.35,-0.178502,0.150601,-0.0226194
0.351,-0.178857,0.150219,-0.0227704
0.352,-0.179212,0.149838,-0.0229214
0.353,-0.179567,0.149456,-0.0230723
0.354,-0.179922,0.149074,-0.0232233
0.355,-0.180277,0.148693,-0.0233743
0.356,-0.180632,0.148311,-0.0235253
0.357,-0.180987,0.147929,-0.0236762
0.358,-0.181342,0.147548,-0.0238272
0.359,-0.181697,0.147166,-0.0239782
0.36,-0.182053,0.146785,-0.0241291
0.361,-0.182408,0.146403,-0.0242801
0.362,-0.182763,0.146021,-0.0244311
0.363,-0.183118,0.14564,-0.0245821
0.364,-0.183473,0.145258,-0.024733
0.365,-0.183828,0.144876,-0.024884
0.366,-0.184183,0.144495,-0.025035
0.367,-0.184538,0.144113,-0.0251859
0.368,-0.184893,0.143732,-0.0253369
0.369,-0.185249,0.14335,-0.0254879
0.37,-0.185604,0.142968,-0.0256389
0.371,-0.185959,0.142587,-0.0257898
0.372,-0.186314,0.142205,-0.0259408
0.373,-0.186669,0.141823,-0.0260918
0.374,-0.187024,0.141442,-0.0262427
0.375,-0.187379,0.14106,-0.0263937
0.376,-0.187651,0.140571,-0.0265924
0.377,-0.187923,0.140082,-0.0267912
0.378,-0.188196,0.139593,-0.0269899
0.379,-0.188468,0.139104,-0.0271887
0.38,-0.18874,0.138615,-0.0273874
0.381,-0.189012,0.138126,-0.0275862
0.382,-0.189284,0.137637,-0.0277849
0.383,-0.189556,0.137148,-0.0279836
0.384,-0.189828,0.136658,-0.0281824
0.385,-0.1901,0.136169,-0.0283811
0.386,-0.190373,0.13568,-0.0285799
0.387,-0.190645,0.135191,-0.0287786
0.388,-0.190917,0.134702,-0.0289774
0.389,-0.191189,0.134213,-0.0291761
0.39,-0.191461,0.133724,-0.0293748
0.391,-0.191733,0.133235,-0.0295736
0.392,-0.192005,0.132746,-0.0297723
0.393,-0.192277,0.132257,-0.0299711
0.394,-0.19255,0.131768,-0.0301698
0.395,-0.192822,0.131279,-0.0303686
0.396,-0.193094,0.130789,-0.0305673
0.397,-0.193366,0.1303,-0.030766
0.398,-0.193638,0.129811,-0.0309648
0.399,-0.19391,0.129322,-0.0311635
0.4,-0.194182,0.128833,-0.0313623
0.401,-0.194454,0.128344,-0.031561
0.402,-0.194726,0.127855,-0.0317597
0.403,-0.194999,0.127366,-0.0319585
0.404,-0.195271,0.126877,-0.0321572
0.405,-0.195543,0.126388,-0.032356
0.406,-0.195815,0.125899,-0.0325547
0.407,-0.196005,0.125326,-0.0327748
0.408,-0.196167,0.124726,-0.033002
0.409,-0.196329,0.124126,-0.0332293
0.41,-0.196491,0.123526,-0.0334565
0.411,-0.196653,0.122925,-0.0336837
0.412,-0.196815,0.122325,-0.0339109
0.413,-0.196977,0.121725,-0.0341381
0.414,-0.19714,0.121125,-0.0343653
0.415,-0.197302,0.120525,-0.0345926
0.416,-0.197464,0.119924,-0.0348198
0.417,-0.197626,0.119324,-0.035047
0.418,-0.197788,0.118724,-0.0352742
0.419,-0.19795,0.118124,-0.0355014
0.42,-0.198112,0.117524,-0.0357286
0.421,-0.198275,0.116924,-0.0359559
0.422,-0.198437,0.116323,-0.0361831
0.423,-0.198599,0.115723,-0.0364103
0.424,-0.198761,0.115123,-0.0366375
0.425,-0.198923,0.114523,-0.0368647
0.426,-0.199085,0.113923,-0.037092
0.427,-0.199247,0.113322,-0.0373192
0.428,-0.199409,0.112722,-0.0375464
0.429,-0.199572,0.112122,-0.0377736
0.43,-0.199734,0.111522,-0.0380008
0.431,-0.199896,0.110922,-0.038228
0.432,-0.200058,0.110321,-0.0384553
0.433,-0.20022,0.109721,-0.0386825
0.434,-0.200382,0.109121,-0.0389097
0.435,-0.200544,0.108521,-0.0391369
0.436,-0.200707,0.107921,-0.0393641
0.437,-0.200869,0.10732,-0.0395914
0.438,-0.200963,0.106663,-0.039822
0.439,-0.200989,0.105948,-0.0400562
0.44,-0.201014,0.105233,-0.0402903
0.441,-0.20104,0.104517,-0.0405244
0.442,-0.201066,0.103802,-0.0407585
0.443,-0.201092,0.103087,-0.0409927
0.444,-0.201118,0.102372,-0.0412268
0.445,-0.201144,0.101657,-0.0414609
0.446,-0.20117,0.100942,-0.0416951
0.447,-0.201196,0.100227,-0.0419292
0.448,-0.201221,0.0995118,-0.0421633
0.449,-0.201247,0.0987967,-0.0423974
0.45,-0.201273,0.0980816,-0.0426316
0.451,-0.201299,0.0973665,-0.0428657
0.452,-0.201325,0.0966514,-0.0430998
0.453,-0.201351,0.0959363,-0.043334
0.454,-0.201377,0.0952212,-0.0435681
0.455,-0.201402,0.0945061,-0.0438022
0.456,-0.201428,0.093791,-0.0440364
0.457,-0.201454,0.093076,-0.0442705
0.458,-0.20148,0.0923608,-0.0445046
0.459,-0.201506,0.0916458,-0.0447387
0.46,-0.201532,0.0909306,-0.0449729
0.461,-0.201558,0.0902156,-0.045207
0.462,-0.201584,0.0895005,-0.0454411
0.463,-0.201609,0.0887854,-0.0456753
0.464,-0.201635,0.0880703,-0.0459094
0.465,-0.201661,0.0873552,-0.0461435
0.466,-0.201687,0.0866401,-0.0463776
0.467,-0.201713,0.085925,-0.0466118
0.468,-0.201739,0.0852099,-0.0468459
0.469,-0.201725,0.0844657,-0.0470758
0.47,-0.201592,0.0836343,-0.047293
0.471,-0.201459,0.0828028,-0.0475102
0.472,-0.201326,0.0819714,-0.0477273
0.473,-0.201193,0.0811399,-0.0479445
0.474,-0.20106,0.0803085,-0.0481617
0.475,-0.200927,0.0794771,-0.0483789
0.476,-0.200794,0.0786456,-0.0485961
0.477,-0.200661,0.0778142,-0.0488132
0.478,-0.200528,0.0769827,-0.0490304
0.479,-0.200395,0.0761513,-0.0492476
0.48,-0.200262,0.0753198,-0.0494648
0.481,-0.200129,0.0744884,-0.049682
0.482,-0.199996,0.073657,-0.0498991
0.483,-0.199863,0.0728255,-0.0501163
0.484,-0.19973,0.0719941,-0.0503335
0.485,-0.199597,0.0711626,-0.0505507
0.486,-0.199464,0.0703312,-0.0507679
0.487,-0.199331,0.0694997,-0.050985
0.488,-0.199198,0.0686683,-0.0512022
0.489,-0.199065,0.0678369,-0.0514194
0.49,-0.198932,0.0670054,-0.0516366
0.491,-0.198799,0.066174,-0.0518538
0.492,-0.198666,0.0653425,-0.0520709
0.493,-0.198533,0.0645111,-0.0522881
0.494,-0.1984,0.0636797,-0.0525053
0.495,-0.198267,0.0628482,-0.0527225
0.496,-0.198134,0.0620168,-0.0529397
